"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6148","Проверка, что всплывающее окно закрывается кликом по крестику","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","4936","Проверка, что клик в шапке по кнопке ""Конструктор"" ведёт на главную","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","22689","Проверка, что при создании нового заказа счётчик «Выполнено за сегодня» увеличивается","tests","2026-08-12","passed","2026-08-12","TestFeed","test_feed","",""
"","17237","Проверка, что при создании нового заказа счётчик «Выполнено за всё время» увеличивается","tests","2026-08-12","passed","2026-08-12","TestFeed","test_feed","",""
"","8139","Проверка: при добавлении ингредиента Соус Spicy-X в заказ счётчик этого ингредиента увеличивается","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","5986","Проверка: при добавлении ингредиента Мясо бессмертных моллюсков Protostomia в заказ счётчик этого ингредиента увеличивается","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","22650","Проверка, что при создании нового заказа счётчик «Выполнено за сегодня» увеличивается","tests","2026-08-12","passed","2026-08-12","TestFeed","test_feed","",""
"","5786","Проверка, что всплывающее окно закрывается кликом по крестику","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","17597","Проверка, что после оформления заказа его номер появляется в разделе «В работе»","tests","2026-08-12","passed","2026-08-12","TestFeed","test_feed","",""
"","4885","Проверка, что клик в шапке по кнопке ""Лента заказов"" ведёт на ленту заказов","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","8728","Проверка: при добавлении ингредиента Мясо бессмертных моллюсков Protostomia в заказ счётчик этого ингредиента увеличивается","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","21059","Проверка, что при создании нового заказа счётчик «Выполнено за всё время» увеличивается","tests","2026-08-12","passed","2026-08-12","TestFeed","test_feed","",""
"","2897","Проверка: при добавлении ингредиента Флюоресцентная булка R2-D3 в заказ счётчик этого ингредиента увеличивается","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","5846","Проверка: при добавлении ингредиента Соус Spicy-X в заказ счётчик этого ингредиента увеличивается","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","5899","Проверка: при добавлении ингредиента Флюоресцентная булка R2-D3 в заказ счётчик этого ингредиента увеличивается","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","6320","Проверка, что клик в шапке по кнопке ""Лента заказов"" ведёт на ленту заказов","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","20946","Проверка, что после оформления заказа его номер появляется в разделе «В работе»","tests","2026-08-12","passed","2026-08-12","TestFeed","test_feed","",""
"","5391","Проверка, что если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","6218","Проверка, что если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
"","2189","Проверка, что клик в шапке по кнопке ""Конструктор"" ведёт на главную","tests","2026-08-12","passed","2026-08-12","TestConstructor","test_constructor","",""
